language,distribution
por,3.486736278086975
gle,6.245971561324747
eng,24.068624978281463
mkd,3.252456296694859
spa,6.523408381394358
nor,3.4581518784434393
tur,1.7301968960704857
isl,2.456576934070923
ukr,5.026930988291606
bul,2.161765282845437
fra,2.9094435009724298
fin,0.8412781149989631
lav,4.197422920204687
ita,10.233775550810172
nld,2.1774586787281622
ell,2.384835695749892
lit,1.8008171775427504
slv,2.246397524927278
pol,2.674603041155931
bel,2.8618028348998705
ces,1.4028774962307826
slk,0.9163822238662923
est,1.1260011545855542
cym,1.7189873275828247
hun,0.788593143106956
deu,1.577186286213912
ron,0.882193039978926
dan,0.3486175799662592
swe,0.2763158632208453
sqi,0.22419136975322132
