language,distribution
gle,8.124407957057151
eng,35.666245658351755
nor,4.095358383328071
spa,8.658035996210925
ita,13.514366908746448
isl,2.5465740448373855
lit,2.300284180612567
lav,5.377328702241869
nld,1.5172087148721187
por,4.047994947900221
fra,1.6529838964319545
deu,2.0176823492263973
fin,0.6867698137038206
slv,2.5576255131038836
est,1.0467319229554783
cym,2.065045784654247
slk,0.5794126934006947
ron,0.11840858856962426
hun,0.2352383959583202
tur,0.3646984527944427
pol,0.8714872118724345
mkd,0.2668140195768866
ukr,0.2778654878433849
bel,0.1957688664351121
dan,0.42627091885064733
bul,0.17366592990211557
sqi,0.19892642879696873
ces,0.17050836754025891
swe,0.22260814651089358
ell,0.02368171771392485
