language,distribution
gle,7.7510240481264825
eng,31.381973729953593
nor,3.902719206759473
mkd,3.1651022536616336
ita,12.704242808990463
spa,7.933916776251153
isl,2.2279659607914266
lit,2.41992774981484
lav,5.524569597484847
por,3.9601565924515185
nld,1.3361749724149397
fra,1.2288577517798032
bel,1.5840626369806075
deu,0.8736528665789991
fin,0.5592587554225427
slv,2.554452153146208
est,0.9053945797246029
ukr,2.7494369624692028
cym,1.977055275926178
bul,3.000347647334452
slk,0.5154249610786137
ron,0.10429420033555524
pol,0.6030925497664718
dan,0.3083480705572938
tur,0.26753729651294605
sqi,0.1677776266267628
ces,0.13301289318157772
hun,0.05290285524267296
swe,0.07708701763932345
ell,0.030230202995813114
