language,distribution
gle,8.485150985774894
eng,33.983386216977436
nor,4.374487504010839
isl,2.57584940639595
ita,14.078933295304646
spa,7.941459588577132
lit,2.481371884915683
lav,5.738172483867517
nld,1.8717244821562267
por,4.3709223145210165
fra,2.148026667617384
slv,2.727369959713359
fin,0.8289065563834719
est,1.0927305786302541
cym,2.107026988484438
slk,0.6684730293415095
deu,1.295946379550073
tur,0.31730186459410314
pol,1.1301650682733788
ces,0.32621483831865666
ron,0.18895504296053336
dan,0.4189097650540126
sqi,0.1782594744910692
hun,0.32264964882883523
swe,0.29234553816535347
mkd,0.012478163214374845
ukr,0.012478163214374845
bul,0.00891297372455346
ell,0.01069556846946415
bel,0.01069556846946415
