language,distribution
por,3.7116400091834394
gle,7.245988622739216
nor,4.100022958597995
eng,28.80730083416239
spa,7.453253743526951
mkd,2.012703757557205
tur,0.9285477411290528
isl,2.76906201372414
lav,4.8410754827682965
ita,11.873421596387846
nld,2.0809418127088595
slv,2.549679855105737
fra,2.6115405219254613
deu,2.0324736613861893
lit,2.1517308231932857
pol,1.577765873319558
ukr,2.385780974975128
bel,1.383893268028877
est,1.2729267110532894
fin,1.036963342771868
hun,0.6970485446799827
slk,0.8009999744904467
cym,2.0005867197265372
bul,1.3118287798780643
ces,0.5873574653707814
dan,0.5446289635468482
ron,0.30356368459988264
swe,0.4712889977296498
ell,0.2314991964490702
sqi,0.21874441978520956
kat,0.005739649498737277
