language,distribution
gle,8.897308596812124
eng,32.84743738101459
nor,4.253611556982344
spa,8.59121281122849
ita,13.798574041584233
isl,2.6708723729889132
lit,2.573817611706297
lav,6.161110903729142
nld,1.8179103363320763
por,4.862070252715666
fra,2.502892978461309
slv,2.736197693082982
fin,0.6681847026764717
est,1.0508044346560155
cym,2.0698794281234836
slk,0.6420545746388443
ron,0.1343835156220837
pol,0.7540408376572474
deu,1.004143491731681
tur,0.35089029079099626
dan,0.37888685654559706
sqi,0.16797939452760463
ces,0.29303072156482135
hun,0.43487998805479866
swe,0.11571913845234985
mkd,0.0615924446601217
ukr,0.05039381835828139
bul,0.05039381835828139
bel,0.04292806749038785
ell,0.016797939452760462
