language,distribution
eng,29.54728208427147
ita,14.120295915085238
slk,0.8242200064329366
slv,2.786265680283049
lav,5.7534577034416206
nor,3.8115149565776782
gle,8.829205532325506
spa,8.628176262463814
lit,2.2314248954647797
por,4.105017690575748
isl,3.083788999678353
nld,1.2906079125120618
fra,1.8816339659054357
cym,1.9017368928916052
est,0.9408169829527179
deu,1.0212286908973947
ukr,1.9459633322611771
bel,1.2865873271148278
mkd,1.8534898681247989
bul,1.2262785461563204
pol,0.6834995175297522
swe,0.24123512383403023
dan,0.34577034416211
ron,0.12061756191701511
sqi,0.13669990350595046
tur,0.29752331939530396
hun,0.3417497587648761
ces,0.2251527822450949
fin,0.5387584432293342
