language,distribution
eng,33.353613709534315
nor,4.4667528582655205
gle,9.105888914239358
ita,14.208938575810581
spa,8.626765026491242
isl,2.775876492508936
lit,2.6922199406798994
lav,6.312267092554567
nld,1.427231475143864
por,4.674626714325551
fra,1.4880726037467995
fin,0.6439019443810683
slv,2.846857809212361
est,0.9658529165716023
cym,2.109159124901767
slk,0.633761756280579
pol,0.5982710979288666
deu,0.7199533551347378
tur,0.25857479656247623
mkd,0.20026871498466298
ukr,0.1901285268841737
bul,0.1749182447334398
ron,0.13942758638172736
dan,0.38279210079346976
ell,0.1571729155575836
sqi,0.16477805663295053
ces,0.18252338580880675
swe,0.18505843283392906
hun,0.1571729155575836
bel,0.1571729155575836
